timestamp_s,x_m,y_m,z_m,yaw_rad
0.000000,0.416921,-0.056173,1.503916,0.53644932
0.050000,0.440968,-0.071558,1.524429,0.52750639
0.100000,0.471341,-0.019665,1.514184,0.51593786
0.150000,0.482444,0.017223,1.529904,0.51574488
0.200000,0.543949,0.002661,1.495371,0.51421328
0.250000,0.536425,0.041674,1.527338,0.50846240
0.300000,0.577932,0.038864,1.532734,0.49336930
0.350000,0.613718,0.040689,1.524562,0.49908746
0.400000,0.644886,0.033290,1.511313,0.49488288
0.450000,0.667008,0.112348,1.496273,0.48571994
0.500000,0.686551,0.100449,1.480146,0.47550427
0.550000,0.702793,0.097840,1.527605,0.46911968
0.600000,0.738501,0.107402,1.530891,0.46172934
0.650000,0.759140,0.176754,1.525963,0.46770209
0.700000,0.775292,0.111292,1.510685,0.45447350
0.750000,0.805777,0.144469,1.517258,0.44675530
0.800000,0.822176,0.164066,1.494872,0.44584570
0.850000,0.860375,0.167884,1.489568,0.43549638
0.900000,0.881713,0.223277,1.541824,0.42813638
0.950000,0.881793,0.248617,1.531392,0.41214060
1.000000,0.943389,0.208453,1.526277,0.42223590
1.050000,0.961016,0.201708,1.504752,0.41485517
1.100000,0.989389,0.220808,1.536034,0.40570974
1.150000,0.998041,0.242890,1.512369,0.39218862
1.200000,1.023340,0.276672,1.503145,0.41336766
1.250000,1.079715,0.254990,1.544694,0.39786730
1.300000,1.084216,0.284653,1.557912,0.38459868
1.350000,1.081075,0.268233,1.535783,0.37117621
1.400000,1.108874,0.284036,1.548774,0.37791690
1.450000,1.171202,0.302387,1.520639,0.36856171
1.500000,1.167219,0.323717,1.540043,0.37112314
1.550000,1.186497,0.331888,1.571936,0.36089073
1.600000,1.235740,0.362982,1.507848,0.35754080
1.650000,1.287083,0.353040,1.556839,0.34874429
1.700000,1.299801,0.369239,1.545215,0.35479763
1.750000,1.318680,0.392379,1.540473,0.34709966
1.800000,1.354407,0.382937,1.528839,0.34027818
1.850000,1.335265,0.382755,1.559781,0.33698935
1.900000,1.421086,0.402094,1.547788,0.32111538
1.950000,1.428074,0.415390,1.552989,0.32742629
2.000000,1.419927,0.431681,1.564449,0.31569410
2.050000,1.499614,0.433802,1.551849,0.32101910
2.100000,1.482656,0.417759,1.540439,0.33076291
2.150000,1.541934,0.462227,1.559382,0.31105566
2.200000,1.548767,0.441907,1.581818,0.31647000
2.250000,1.577953,0.473725,1.556581,0.30079981
2.300000,1.619183,0.474536,1.559883,0.31309506
2.350000,1.605982,0.473620,1.552970,0.29402472
2.400000,1.614588,0.461368,1.570195,0.29739266
2.450000,1.676124,0.451104,1.558088,0.30167417
2.500000,1.701467,0.477377,1.548444,0.29065939
2.550000,1.701235,0.494946,1.581020,0.29808801
2.600000,1.753079,0.513086,1.544839,0.29067300
2.650000,1.748383,0.518278,1.573284,0.29029947
2.700000,1.801117,0.537164,1.573632,0.29744534
2.750000,1.815923,0.545964,1.559890,0.28388258
2.800000,1.814302,0.549033,1.561038,0.28602274
2.850000,1.868346,0.528451,1.575839,0.29496716
2.900000,1.898661,0.557099,1.537618,0.29344161
2.950000,1.892932,0.528029,1.569580,0.29591593
3.000000,1.922942,0.523207,1.585279,0.29919225
3.050000,1.926398,0.552676,1.567865,0.28907883
3.100000,1.996383,0.588065,1.574728,0.28876546
3.150000,1.978898,0.580688,1.588960,0.30373019
3.200000,2.019283,0.551060,1.557193,0.29690223
3.250000,2.073265,0.608511,1.555917,0.29369734
3.300000,2.043196,0.598952,1.597348,0.29722141
3.350000,2.089129,0.595371,1.578484,0.29606424
3.400000,2.111911,0.624070,1.583309,0.31142274
3.450000,2.102890,0.597048,1.574135,0.31040448
3.500000,2.154103,0.602598,1.559835,0.30122923
3.550000,2.164206,0.591072,1.596636,0.30338112
3.600000,2.189559,0.590769,1.555354,0.32107529
3.650000,2.223602,0.640346,1.598069,0.31501659
3.700000,2.241575,0.673658,1.604220,0.33498263
3.750000,2.247035,0.620959,1.568362,0.32252481
3.800000,2.277753,0.667335,1.595119,0.33804459
3.850000,2.287791,0.670965,1.555699,0.32402847
3.900000,2.288259,0.688720,1.622557,0.33562588
3.950000,2.323270,0.690324,1.576379,0.34651230
4.000000,2.374613,0.689246,1.595262,0.35197905
4.050000,2.361943,0.673287,1.612028,0.35409421
4.100000,2.389557,0.706452,1.587383,0.35701410
4.150000,2.424292,0.733167,1.591869,0.37281050
4.200000,2.445235,0.716916,1.565798,0.36790054
4.250000,2.449849,0.793798,1.594831,0.37037017
4.300000,2.494525,0.764177,1.597830,0.37613952
4.350000,2.484293,0.765627,1.577676,0.37282314
4.400000,2.522663,0.738191,1.592876,0.38717531
4.450000,2.544547,0.765108,1.572873,0.38837489
4.500000,2.541886,0.781965,1.593928,0.40223888
4.550000,2.598776,0.775951,1.574534,0.40596564
4.600000,2.614971,0.803427,1.561323,0.41412138
4.650000,2.644889,0.811764,1.561598,0.41343752
4.700000,2.620520,0.801621,1.594766,0.43852430
4.750000,2.652940,0.795300,1.588236,0.43225194
4.800000,2.680768,0.822417,1.580731,0.43479024
4.850000,2.722066,0.862726,1.617100,0.44977618
4.900000,2.701100,0.832727,1.574523,0.45715813
4.950000,2.748704,0.881201,1.596418,0.46257465
5.000000,2.751852,0.845476,1.602369,0.46882652
5.050000,2.788634,0.880792,1.568167,0.46731339
5.100000,2.800595,0.901931,1.606264,0.47396124
5.150000,2.744668,0.907093,1.566973,0.49112569
5.200000,2.817662,0.868010,1.586694,0.50355241
5.250000,2.846497,0.889968,1.617285,0.51248485
5.300000,2.866692,0.920535,1.597707,0.51194003
5.350000,2.888713,0.930457,1.576742,0.51874842
5.400000,2.893352,0.927241,1.594276,0.53168958
5.450000,2.894820,0.931694,1.584461,0.54050935
