timestamp_s,x_m,y_m,z_m,yaw_rad
0.000000,0.000000,0.220000,1.450000,0.50743143
0.050000,0.026525,0.234747,1.451080,0.50448030
0.100000,0.053047,0.249289,1.452160,0.49855127
0.150000,0.079566,0.263624,1.453239,0.49259042
0.200000,0.106078,0.277752,1.454318,0.48660213
0.250000,0.132582,0.291672,1.455396,0.48059088
0.300000,0.159076,0.305383,1.456473,0.47456124
0.350000,0.185558,0.318886,1.457549,0.46851792
0.400000,0.212025,0.332181,1.458623,0.46246568
0.450000,0.238476,0.345267,1.459696,0.45640940
0.500000,0.264909,0.358146,1.460767,0.45035406
0.550000,0.291321,0.370817,1.461836,0.44430470
0.600000,0.317711,0.383282,1.462903,0.43826645
0.650000,0.344077,0.395542,1.463968,0.43224451
0.700000,0.370416,0.407597,1.465030,0.42624417
0.750000,0.396726,0.419449,1.466090,0.42027075
0.800000,0.423006,0.431100,1.467146,0.41432964
0.850000,0.449254,0.442550,1.468199,0.40842628
0.900000,0.475467,0.453803,1.469249,0.40256615
0.950000,0.501644,0.464859,1.470296,0.39675478
1.000000,0.527782,0.475721,1.471339,0.39099770
1.050000,0.553880,0.486392,1.472377,0.38530048
1.100000,0.579936,0.496874,1.473412,0.37966869
1.150000,0.605948,0.507169,1.474443,0.37410793
1.200000,0.631914,0.517280,1.475469,0.36862377
1.250000,0.657831,0.527210,1.476490,0.36322178
1.300000,0.683699,0.536963,1.477507,0.35790752
1.350000,0.709515,0.546540,1.478519,0.35268651
1.400000,0.735277,0.555947,1.479525,0.34756425
1.450000,0.760983,0.565186,1.480526,0.34254619
1.500000,0.786633,0.574261,1.481522,0.33763774
1.550000,0.812222,0.583175,1.482511,0.33284424
1.600000,0.837751,0.591933,1.483495,0.32817099
1.650000,0.863217,0.600538,1.484473,0.32362321
1.700000,0.888618,0.608994,1.485444,0.31920602
1.750000,0.913953,0.617307,1.486409,0.31492450
1.800000,0.939220,0.625479,1.487367,0.31078360
1.850000,0.964416,0.633515,1.488319,0.30678819
1.900000,0.989541,0.641420,1.489263,0.30294305
1.950000,1.014593,0.649198,1.490201,0.29925282
2.000000,1.039569,0.656855,1.491131,0.29572206
2.050000,1.064469,0.664393,1.492053,0.29235518
2.100000,1.089290,0.671820,1.492968,0.28915649
2.150000,1.114031,0.679138,1.493875,0.28613014
2.200000,1.138691,0.686353,1.494774,0.28328017
2.250000,1.163267,0.693471,1.495665,0.28061047
2.300000,1.187758,0.700495,1.496548,0.27812478
2.350000,1.212163,0.707432,1.497422,0.27582669
2.400000,1.236480,0.714286,1.498287,0.27371964
2.450000,1.260707,0.721062,1.499144,0.27180691
2.500000,1.284844,0.727765,1.499992,0.27009160
2.550000,1.308888,0.734401,1.500830,0.26857667
2.600000,1.332838,0.740974,1.501660,0.26726487
