sensor,sequence,timestamp_s
camera,0,0.00048630
camera,1,0.03300242
camera,2,0.06689402
camera,3,0.09976852
camera,4,0.13359249
camera,5,0.16620921
camera,6,0.20009991
camera,7,0.23294294
camera,8,0.26716553
camera,9,0.29976223
camera,10,0.33387628
camera,11,0.36638291
camera,12,0.40068667
camera,13,0.43293664
camera,14,0.46701157
camera,15,0.50021725
camera,16,0.53311172
camera,17,0.56683897
camera,18,0.59991557
camera,19,0.63318622
camera,20,0.66727904
camera,21,0.69980824
camera,22,0.73321416
camera,23,0.76634553
camera,24,0.80046340
camera,25,0.83325711
camera,26,0.86660930
camera,27,0.89921667
camera,28,0.93364154
camera,29,0.96705397
camera,30,0.99979157
camera,31,1.03339540
camera,32,1.06736833
camera,33,1.09999640
camera,34,1.13376772
camera,35,1.16683281
camera,36,1.19981092
camera,37,1.23322252
camera,38,1.26655503
camera,39,1.30003335
camera,40,1.33326936
camera,41,1.36736198
camera,42,1.39953326
camera,43,1.43374246
camera,44,1.46674613
camera,45,1.49934367
camera,46,1.53370898
camera,47,1.56723538
camera,48,1.59973661
camera,49,1.63276604
camera,50,1.66662831
camera,51,1.70014556
camera,52,1.73338652
camera,53,1.76693388
camera,54,1.80023085
camera,55,1.83313029
camera,56,1.86667550
camera,57,1.89983997
camera,58,1.93312788
camera,59,1.96703729
camera,60,1.99994253
camera,61,2.03389807
camera,62,2.06660185
camera,63,2.09987273
camera,64,2.13333481
camera,65,2.16719865
camera,66,2.20019784
camera,67,2.23362751
camera,68,2.26694123
camera,69,2.30016392
camera,70,2.33319005
camera,71,2.36680941
camera,72,2.39956163
camera,73,2.43291859
camera,74,2.46636704
camera,75,2.49989291
camera,76,2.53381523
camera,77,2.56584191
camera,78,2.60026152
camera,79,2.63324812
camera,80,2.66755495
camera,81,2.69986841
camera,82,2.73350201
camera,83,2.76700206
camera,84,2.79983658
camera,85,2.83352730
camera,86,2.86709434
camera,87,2.89967091
camera,88,2.93314194
camera,89,2.96649762
camera,90,2.99979067
camera,91,3.03375642
camera,92,3.06683837
camera,93,3.10010575
camera,94,3.13321065
camera,95,3.16644938
camera,96,3.19986837
camera,97,3.23373527
camera,98,3.26653796
camera,99,3.30004811
camera,100,3.33316311
camera,101,3.36641129
camera,102,3.40016257
camera,103,3.43295831
camera,104,3.46574604
camera,105,3.50013064
camera,106,3.53358602
camera,107,3.56686062
camera,108,3.59983566
camera,109,3.63336552
camera,110,3.66689694
camera,111,3.69992919
camera,112,3.73316923
camera,113,3.76721761
camera,114,3.79940534
camera,115,3.83293542
camera,116,3.86672944
camera,117,3.90016028
camera,118,3.93337144
camera,119,3.96686295
camera,120,4.00005989
camera,121,4.03352688
camera,122,4.06689160
camera,123,4.10034307
camera,124,4.13314157
camera,125,4.16681646
camera,126,4.20022588
camera,127,4.23342836
camera,128,4.26613164
camera,129,4.30021423
camera,130,4.33353307
camera,131,4.36613625
camera,132,4.40034328
camera,133,4.43330048
camera,134,4.46579339
camera,135,4.50026875
camera,136,4.53317188
camera,137,4.56663417
camera,138,4.59905834
camera,139,4.63315098
camera,140,4.66743868
camera,141,4.70015660
camera,142,4.73339261
camera,143,4.76672652
camera,144,4.79978510
camera,145,4.83338990
camera,146,4.86662497
camera,147,4.89989997
camera,148,4.93345517
camera,149,4.96649502
camera,150,5.00003211
camera,151,5.03278502
camera,152,5.06614785
camera,153,5.10028163
camera,154,5.13347621
camera,155,5.16671936
camera,156,5.20040436
camera,157,5.23308692
camera,158,5.26649034
camera,159,5.29979554
camera,160,5.33350482
camera,161,5.36600334
camera,162,5.39964562
camera,163,5.43297482
camera,164,5.46674613
camera,165,5.49996664
camera,166,5.53350730
camera,167,5.56676985
camera,168,5.59931623
camera,169,5.63360943
camera,170,5.66616347
camera,171,5.70057960
camera,172,5.73338012
camera,173,5.76659329
camera,174,5.80018486
camera,175,5.83326141
camera,176,5.86637706
camera,177,5.89992200
camera,178,5.93375676
camera,179,5.96580018
camera,180,5.99954877
camera,181,6.03371504
camera,182,6.06679526
camera,183,6.09970974
camera,184,6.13365890
camera,185,6.16689246
camera,186,6.19969001
camera,187,6.23360255
camera,188,6.26727596
camera,189,6.29953835
camera,190,6.33264255
camera,191,6.36642543
camera,192,6.40001569
camera,193,6.43401117
camera,194,6.46646088
camera,195,6.49975640
camera,196,6.53350257
camera,197,6.56721457
camera,198,6.60025243
camera,199,6.63379461
camera,200,6.66738277
camera,201,6.69946111
camera,202,6.73387459
camera,203,6.76690633
camera,204,6.80039755
camera,205,6.83367787
camera,206,6.86688728
camera,207,6.90007732
camera,208,6.93375694
camera,209,6.96635525
camera,210,7.00012801
camera,211,7.03403076
camera,212,7.06718774
camera,213,7.10039189
camera,214,7.13301311
camera,215,7.16625152
camera,216,7.20013209
camera,217,7.23346639
camera,218,7.26671987
camera,219,7.29980626
camera,220,7.33324294
camera,221,7.36623684
camera,222,7.40006244
camera,223,7.43306236
camera,224,7.46707857
camera,225,7.50017972
camera,226,7.53307022
camera,227,7.56677153
camera,228,7.60016368
camera,229,7.63325695
camera,230,7.66626288
camera,231,7.69951685
camera,232,7.73313125
camera,233,7.76700211
camera,234,7.79961587
camera,235,7.83293468
camera,236,7.86680345
camera,237,7.90008025
camera,238,7.93328324
camera,239,7.96637194
camera,240,8.00025414
camera,241,8.03306206
camera,242,8.06663635
camera,243,8.09964942
camera,244,8.13333963
camera,245,8.16661405
camera,246,8.20009413
camera,247,8.23276541
camera,248,8.26632965
camera,249,8.30022121
camera,250,8.33288237
camera,251,8.36692923
camera,252,8.39980261
camera,253,8.43379136
camera,254,8.46639111
camera,255,8.50005825
camera,256,8.53386477
camera,257,8.56713163
camera,258,8.59992579
camera,259,8.63362108
camera,260,8.66670521
camera,261,8.70038315
camera,262,8.73397179
camera,263,8.76697837
camera,264,8.79952401
camera,265,8.83365640
camera,266,8.86716504
camera,267,8.89978686
camera,268,8.93246772
camera,269,8.96609040
camera,270,8.99993972
camera,271,9.03312365
camera,272,9.06708477
camera,273,9.10001122
camera,274,9.13320572
camera,275,9.16678256
camera,276,9.20037507
camera,277,9.23380545
camera,278,9.26708972
camera,279,9.29999409
camera,280,9.33337924
camera,281,9.36636251
camera,282,9.40030036
camera,283,9.43335405
camera,284,9.46626493
camera,285,9.50028482
camera,286,9.53316176
camera,287,9.56719213
camera,288,9.60015150
camera,289,9.63350593
camera,290,9.66684923
camera,291,9.69952900
camera,292,9.73342573
camera,293,9.76717675
camera,294,9.80017230
camera,295,9.83312505
camera,296,9.86627929
camera,297,9.90029621
camera,298,9.93387643
camera,299,9.96610851
camera,300,10.00083958
camera,301,10.03367506
camera,302,10.06781635
camera,303,10.09980154
camera,304,10.13274702
camera,305,10.16648299
camera,306,10.20005995
camera,307,10.23316731
camera,308,10.26664040
camera,309,10.30052810
camera,310,10.33370479
camera,311,10.36596499
camera,312,10.40011598
camera,313,10.43311072
camera,314,10.46616255
camera,315,10.50032457
camera,316,10.53304631
camera,317,10.56670151
camera,318,10.60022715
camera,319,10.63334256
camera,320,10.66678298
camera,321,10.70053547
camera,322,10.73380521
camera,323,10.76653539
camera,324,10.79952188
camera,325,10.83321347
camera,326,10.86637783
camera,327,10.89960939
