timestamp_s,x_m,y_m,z_m,yaw_rad
0.000000,0.451225,0.031363,1.553368,0.56836777
0.050000,0.399203,-0.156563,1.450155,0.51704876
0.100000,0.447212,0.064210,1.501251,0.62035945
0.150000,0.488469,-0.025933,1.508453,0.54819989
0.200000,0.535891,0.028288,1.503777,0.54024187
0.250000,0.490746,0.055143,1.521166,0.55270172
0.300000,0.555347,0.017973,1.458265,0.58395106
0.350000,0.518235,0.016963,1.535354,0.47587263
0.400000,0.657484,0.021566,1.460788,0.53027476
0.450000,0.686760,0.030378,1.550422,0.49495350
0.500000,0.644236,0.132352,1.530357,0.54364294
0.550000,0.721292,-0.016604,1.528342,0.46006476
0.600000,0.718911,0.083850,1.513987,0.50799766
0.650000,0.730954,0.099957,1.592026,0.48093558
0.700000,0.824721,0.209927,1.567137,0.43742758
0.750000,0.768882,0.235814,1.456858,0.51204105
0.800000,0.741626,0.151372,1.576085,0.46936473
0.850000,0.861336,0.213188,1.553682,0.51721391
0.900000,0.969216,0.166571,1.457601,0.45100890
0.950000,0.900816,0.117729,1.406100,0.41080013
1.000000,0.964791,0.286998,1.647953,0.45640226
1.050000,0.977333,0.272817,1.550717,0.44789696
1.100000,0.997952,0.180589,1.490762,0.43318622
1.150000,0.998200,0.326536,1.489173,0.43210705
1.200000,1.088705,0.178995,1.579904,0.39341261
1.250000,1.054919,0.231397,1.591291,0.42155337
1.300000,1.129366,0.358675,1.546915,0.43456642
1.350000,1.138397,0.271114,1.582579,0.38998807
1.400000,1.110444,0.339409,1.598046,0.40613854
1.450000,1.110274,0.405337,1.539628,0.36886602
1.500000,1.202213,0.293957,1.583480,0.41031622
1.550000,1.178410,0.417121,1.528717,0.41036324
1.600000,1.237764,0.334218,1.512073,0.39111750
1.650000,1.318057,0.282837,1.437887,0.39315141
1.700000,1.295529,0.339757,1.495350,0.38958928
1.750000,1.347977,0.424254,1.477620,0.36588746
1.800000,1.333992,0.456316,1.468682,0.37670906
1.850000,1.446040,0.391233,1.492847,0.31598795
1.900000,1.432919,0.377757,1.618416,0.33288395
1.950000,1.306681,0.402981,1.436309,0.33695383
2.000000,1.377999,0.369321,1.573618,0.32725212
2.050000,1.362916,0.450751,1.570425,0.37405640
2.100000,1.541809,0.449055,1.521240,0.29832284
2.150000,1.446097,0.371878,1.603203,0.34351486
2.200000,1.524190,0.330799,1.579738,0.34508442
2.250000,1.595367,0.499280,1.409171,0.32737047
2.300000,1.680828,0.580495,1.551822,0.35211633
2.350000,1.643095,0.393037,1.606670,0.30483174
2.400000,1.674792,0.417454,1.474293,0.34583153
2.450000,1.692902,0.505723,1.506018,0.28986491
2.500000,1.747382,0.506141,1.519552,0.36202251
2.550000,1.731748,0.522056,1.610332,0.32781509
2.600000,1.772230,0.556227,1.620433,0.31618921
2.650000,1.812288,0.418884,1.574187,0.32924322
2.700000,1.808662,0.453645,1.634728,0.28286437
2.750000,1.804472,0.432639,1.529933,0.32169096
2.800000,1.964872,0.520675,1.682300,0.31565266
2.850000,1.877978,0.560831,1.589189,0.34203500
2.900000,1.985432,0.526106,1.613748,0.27281297
2.950000,1.941109,0.572610,1.606256,0.31059074
