sensor,sequence,timestamp_s
camera,0,0.00080737
camera,1,0.03400889
camera,2,0.06207451
camera,3,0.10086536
camera,4,0.13336570
camera,5,0.16042620
camera,6,0.20009345
camera,7,0.23249191
camera,8,0.26777018
camera,9,0.30008237
camera,10,0.33352736
camera,11,0.36904719
camera,12,0.40125262
camera,13,0.43899440
camera,14,0.46796994
camera,15,0.49494150
camera,16,0.52635822
camera,17,0.56610143
camera,18,0.60099531
camera,19,0.63302647
camera,20,0.66751383
camera,21,0.70021744
camera,22,0.73286373
camera,23,0.76551398
camera,24,0.80387889
camera,25,0.83375065
camera,26,0.86659471
camera,27,0.89648442
camera,28,0.93074804
camera,29,0.96625151
camera,30,0.99542044
camera,31,1.03568676
camera,32,1.06627770
camera,33,1.10323709
camera,34,1.13272712
camera,35,1.16551281
camera,36,1.20025411
camera,37,1.23390266
camera,38,1.26567675
camera,39,1.30083368
camera,40,1.37489183
camera,41,1.33685636
camera,42,1.40089319
camera,43,1.42774250
camera,44,1.46745404
camera,45,1.50182841
camera,46,1.53012738
camera,47,1.56648378
camera,48,1.59795150
camera,49,1.63786245
camera,50,1.66455597
camera,51,1.69577461
camera,52,1.73636448
camera,53,1.76783720
camera,54,1.79772738
camera,55,1.83722720
camera,56,1.86607952
camera,57,1.89924228
camera,58,1.93128335
camera,59,1.96591071
camera,60,2.00014773
camera,61,2.03672899
camera,62,2.06861850
camera,63,2.09985631
camera,64,2.12866951
camera,65,2.16796926
camera,66,2.20142973
camera,67,2.23159789
camera,68,2.26888904
camera,69,2.29917204
camera,70,2.33168135
camera,71,2.36432168
camera,72,2.40074540
camera,73,2.43795180
camera,74,2.46649515
camera,75,2.49694004
camera,76,2.53516176
camera,77,2.56219286
camera,78,2.59829778
camera,79,2.63175141
camera,80,2.66921181
camera,81,2.70257003
camera,82,2.73579289
camera,83,2.76915950
camera,84,2.79848276
camera,85,2.83064185
camera,86,2.86798440
camera,87,2.90211034
camera,88,2.92973167
camera,89,2.96895104
camera,90,2.99602223
camera,91,3.03743596
camera,92,3.06778816
camera,93,3.10070133
