timestamp_s,x_m,y_m,z_m,yaw_rad,confidence
0.00,0.000,0.014,1.200,0.0535,0.950
0.05,0.050,0.039,1.201,0.0535,0.950
0.10,0.100,0.125,1.202,0.0534,0.950
0.15,0.150,0.150,1.203,0.0532,0.949
0.20,0.200,0.203,1.204,0.0530,0.949
0.25,0.250,0.271,1.205,0.0527,0.949
0.30,0.300,0.331,1.206,0.0523,0.949
0.35,0.350,0.364,1.207,0.0519,0.948
0.40,0.400,0.412,1.208,0.0514,0.948
0.45,0.450,0.472,1.209,0.0508,0.948
0.50,0.500,0.527,1.210,0.0501,0.947
0.55,0.550,0.572,1.210,0.0494,0.947
0.60,0.600,0.622,1.211,0.0487,0.946
0.65,0.650,0.662,1.212,0.0479,0.946
0.70,0.700,0.703,1.213,0.0470,0.945
0.75,0.750,0.784,1.214,0.0460,0.944
0.80,0.800,0.806,1.214,0.0450,0.944
0.85,0.850,0.857,1.215,0.0440,0.943
0.90,0.900,0.886,1.216,0.0429,0.942
0.95,0.950,0.949,1.216,0.0417,0.941
1.00,1.000,0.999,1.217,0.0405,0.939
1.05,1.050,1.009,1.217,0.0392,0.938
1.10,1.100,1.079,1.218,0.0379,0.937
1.15,1.150,1.115,1.218,0.0365,0.935
1.20,1.200,1.142,1.219,0.0351,0.934
1.25,1.250,1.163,1.219,0.0336,0.932
1.30,1.300,1.211,1.219,0.0321,0.931
1.35,1.350,1.238,1.220,0.0305,0.929
1.40,1.400,1.247,1.220,0.0289,0.927
1.45,1.450,1.292,1.220,0.0273,0.925
1.50,1.500,1.318,1.220,0.0256,0.923
1.55,1.550,1.322,1.220,0.0240,0.921
1.60,1.600,1.348,1.220,0.0222,0.919
1.65,1.650,1.389,1.220,0.0205,0.917
1.70,1.700,1.407,1.220,0.0187,0.914
1.75,1.750,1.425,1.220,0.0169,0.912
1.80,1.800,1.433,1.219,0.0151,0.910
1.85,1.850,1.461,1.219,0.0132,0.907
1.90,1.900,1.471,1.219,0.0114,0.904
1.95,1.950,1.465,1.219,0.0095,0.902
2.00,2.000,1.483,1.218,0.0076,0.899
2.05,2.050,1.487,1.218,0.0057,0.896
2.10,2.100,1.502,1.217,0.0038,0.894
